items,support,ordered_statistics
"frozenset({'turkey', 'mineral water', 'milk'})",0.0029394849511150873,"[OrderedStatistic(items_base=frozenset({'turkey', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.5411764705882353, lift=5.456746513038205)]"
"frozenset({'mineral water', 'nan', 'nonfat milk'})",0.0024282701770081154,"[OrderedStatistic(items_base=frozenset({'nan', 'nonfat milk'}), items_add=frozenset({'mineral water'}), confidence=0.5205479452054794, lift=5.248746645953961)]"
"frozenset({'olive oil', 'mineral water', 'shrimp'})",0.0021726627899546296,"[OrderedStatistic(items_base=frozenset({'olive oil', 'shrimp'}), items_add=frozenset({'mineral water'}), confidence=0.5573770491803278, lift=5.620098867669427)]"
"frozenset({'olive oil', 'mineral water', 'soup'})",0.002492172023771487,"[OrderedStatistic(items_base=frozenset({'olive oil', 'soup'}), items_add=frozenset({'mineral water'}), confidence=0.5820895522388059, lift=5.869277965840897)]"
"frozenset({'olive oil', 'mineral water', 'tomatoes'})",0.0019809572496645154,"[OrderedStatistic(items_base=frozenset({'olive oil', 'tomatoes'}), items_add=frozenset({'mineral water'}), confidence=0.5740740740740741, lift=5.788456949217259)]"
"frozenset({'mineral water', 'pancakes', 'soup'})",0.002044859096427887,"[OrderedStatistic(items_base=frozenset({'pancakes', 'soup'}), items_add=frozenset({'mineral water'}), confidence=0.6274509803921569, lift=6.326662623812411)]"
"frozenset({'mineral water', 'pancakes', 'whole wheat rice'})",0.0019809572496645154,"[OrderedStatistic(items_base=frozenset({'pancakes', 'whole wheat rice'}), items_add=frozenset({'mineral water'}), confidence=0.5961538461538461, lift=6.011089908802537)]"
"frozenset({'mineral water', 'salmon', 'spaghetti'})",0.003195092338168573,"[OrderedStatistic(items_base=frozenset({'salmon', 'spaghetti'}), items_add=frozenset({'mineral water'}), confidence=0.5, lift=5.041559278350515)]"
"frozenset({'mineral water', 'soup', 'spaghetti'})",0.003578503418748802,"[OrderedStatistic(items_base=frozenset({'soup', 'spaghetti'}), items_add=frozenset({'mineral water'}), confidence=0.5233644859813084, lift=5.277146160516427)]"
"frozenset({'mineral water', 'tomatoes', 'soup'})",0.001789251709374401,"[OrderedStatistic(items_base=frozenset({'tomatoes', 'soup'}), items_add=frozenset({'mineral water'}), confidence=0.5384615384615384, lift=5.4293715305313235)]"
"frozenset({'olive oil', 'tomatoes', 'spaghetti'})",0.002108760943191258,"[OrderedStatistic(items_base=frozenset({'olive oil', 'tomatoes'}), items_add=frozenset({'spaghetti'}), confidence=0.611111111111111, lift=8.049897119341564)]"
"frozenset({'mineral water', 'chocolate', 'nan', 'chicken'})",0.0036424052655121735,"[OrderedStatistic(items_base=frozenset({'nan', 'chocolate', 'chicken'}), items_add=frozenset({'mineral water'}), confidence=0.5181818181818182, lift=5.224888706654171)]"
"frozenset({'nan', 'ground beef', 'chicken', 'spaghetti'})",0.0023004664834813727,"[OrderedStatistic(items_base=frozenset({'nan', 'ground beef', 'chicken'}), items_add=frozenset({'spaghetti'}), confidence=0.5070422535211269, lift=6.679043960734103)]"
"frozenset({'mineral water', 'pancakes', 'nan', 'chicken'})",0.0023004664834813727,"[OrderedStatistic(items_base=frozenset({'nan', 'pancakes', 'chicken'}), items_add=frozenset({'mineral water'}), confidence=0.5373134328358209, lift=5.417795045391599)]"
"frozenset({'eggs', 'mineral water', 'ground beef', 'chocolate'})",0.0019170554029011438,"[OrderedStatistic(items_base=frozenset({'eggs', 'ground beef', 'chocolate'}), items_add=frozenset({'mineral water'}), confidence=0.6122448979591837, lift=6.173337891857774)]"
"frozenset({'frozen vegetables', 'mineral water', 'chocolate', 'milk'})",0.0019170554029011438,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'chocolate', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.5, lift=5.041559278350515)]"
